sampleID	ID	Timepoint	sample	PenID	Sex	Treatment 	Disease_score	pen	Description	Treatment_plan
L2301065	L2301065	day_0	stool	P1	M	Neg control	3.5	P1	day_0_Neg control	Neg control
L2301066	L2301066	day_0	stool	P2	F	Neg control	3	P2	day_0_Neg control	Neg control
L2301067	L2301067	day_0	stool	P3	F	Neg control	1.5	P3	day_0_Neg control	Neg control
L2301068	L2301068	day_0	stool	P4	M	Neg control	3	P4	day_0_Neg control	Neg control
L2301069	L2301069	day_0	stool	P5	F	Neg control	2.5	P5	day_0_Neg control	Neg control
L2301070	L2301070	day_0	stool	P6	M	Neg control	4	P6	day_0_Neg control	Neg control
L2301071	L2301071	day_0	stool	P7	F	Neg control	2.5	P7	day_0_Neg control	Neg control
L2301077	L2301077	day_0	stool	P13	F	Pos control	4	P8	day_0_Pos control	Pos control
L2301078	L2301078	day_0	stool	P14	M	Pos control	5	P9	day_0_Pos control	Pos control
L2301088	L2301088	day_0	stool	P24	M	Pos control	4.5	P10	day_0_Pos control	Pos control
L2301097	L2301097	day_0	stool	P33	F	Pos control	3.5	P11	day_0_Pos control	Pos control
L2301099	L2301099	day_0	stool	P35	F	Pos control	4	P12	day_0_Pos control	Pos control
L2301107	L2301107	day_0	stool	P43	M	Pos control	3	P13	day_0_Pos control	Pos control
L2301111	L2301111	day_0	stool	P47	F	Pos control	1	P14	day_0_Pos control	Pos control
L2301074	L2301074	day_0	stool	P10	F	1% Glu	2	P15	day_0_1% Glu	Glu
L2301075	L2301075	day_0	stool	P11	M	1% Glu	3	P16	day_0_1% Glu	Glu
L2301080	L2301080	day_0	stool	P16	F	1% Glu	4	P17	day_0_1% Glu	Glu
L2301090	L2301090	day_0	stool	P26	M	1% Glu	4	P18	day_0_1% Glu	Glu
L2301094	L2301094	day_0	stool	P30	F	1% Glu	3.5	P19	day_0_1% Glu	Glu
L2301101	L2301101	day_0	stool	P37	M	1% Glu	2	P20	day_0_1% Glu	Glu
L2301113	L2301113	day_0	stool	P49	M	1% Glu	3.5	P21	day_0_1% Glu	Glu
L2301072	L2301072	day_0	stool	P8	M	2% Glu	3.5	P22	day_0_2% Glu	Glu
L2301083	L2301083	day_0	stool	P19	M	2% Glu	2.5	P23	day_0_2% Glu	Glu
L2301085	L2301085	day_0	stool	P21	F	2% Glu	3.5	P24	day_0_2% Glu	Glu
L2301093	L2301093	day_0	stool	P29	F	2% Glu	1.5	P25	day_0_2% Glu	Glu
